file,cats
798507904.txt,9
804045612.txt,9
792948743.txt,3
793084875.txt,3
759511715.txt,3
776431140.txt,9
779183024.txt,8
785000449.txt,4
742651922.txt,9
746965405.txt,9
798713223.txt,9
771650368.txt,3
803876336.txt,9
768815667.txt,3
734332849.txt,9
801051895.txt,7
781773363.txt,9
758037306.txt,3
748444760.txt,5
764662087.txt,3
Z3436303_housing_instability.txt,9
Z3158695_childcare.txt,5
Z3332554_substance_abuse.txt,6;8
Z3270571_parent_employment.txt,9
Z897449_transportation.txt,0;3;4
Z3407997_food_insecurity.txt,9
Z3397001_safety.txt,9
Z1725330_financial_strain.txt,9
795228404.txt,4;8
804257333.txt,8
744173368.txt,9
764679905.txt,9
777218429.txt,9
750399483.txt,1;3
765925964.txt,9
797805510.txt,9
810089169.txt,3;7
799345370.txt,8
767847492.txt,4
751097166.txt,0
744375909.txt,9
796718222.txt,4
735442263.txt,9
734766290.txt,6;7
759861099.txt,3
806902810.txt,9
802376323.txt,9
806340991.txt,1
791441082.txt,9
754207788.txt,1;3;4;5
771649119.txt,9
803613093.txt,3
802346171.txt,9
810011531.txt,9
764551203.txt,3
776150262.txt,3;6
731767882.txt,3;5;6;7;8
757699951.txt,9
765754673.txt,1;4
755951737.txt,9
736280032.txt,9
740381832.txt,4
759064018.txt,3
784302284.txt,9
799456608.txt,3
740299111.txt,5;7;8
776453489.txt,4
809754881.txt,9
808807726.txt,1;3;4
768215003.txt,9
765872700.txt,1;4
745793220.txt,7;8
766106630.txt,1
796974687.txt,9
755307792.txt,0
796549830.txt,9
738793331.txt,9
757989498.txt,3
779497591.txt,9
782298339.txt,3
787368367.txt,9
795900425.txt,9
768708833.txt,9
788560718.txt,3
765431613.txt,9
788583045.txt,3
798526278.txt,3
780098488.txt,1;3;4
770313451.txt,9
786497530.txt,0;3
767815498.txt,1;3
768868815.txt,9
781911433.txt,9
752706429.txt,9
749442330.txt,1;3;4;7
735867514.txt,9
804043381.txt,4
753611477.txt,1;3;4
797621560.txt,3
810379272.txt,3
804543869.txt,9
777108514.txt,3;4
778881257.txt,9
738955133.txt,4
787757589.txt,3
778414792.txt,1;3
768893621.txt,9
782515112.txt,0;1;3;4;5
790879095.txt,9
805302551.txt,9
793785981.txt,4
797019912.txt,3
785453340.txt,9
797105119.txt,4
749043767.txt,3
803840123.txt,3;4;7
736891241.txt,3;5
808752059.txt,2;4
764575520.txt,9
760372592.txt,9
739680775.txt,1;3;4
799862984.txt,9
745616642.txt,3
758384231.txt,9
797757110.txt,9
784249036.txt,3
759199481.txt,3
775580899.txt,3
806714684.txt,3
772580619.txt,9
759471309.txt,9
768122440.txt,3
788462895.txt,9
805709554.txt,3
774397677.txt,9
766162655.txt,9
731500130.txt,6;8
764820461.txt,0;3;4
737165161.txt,9
761174913.txt,3
781555886.txt,0
806817385.txt,9
789554835.txt,5
800394922.txt,9
794910688.txt,3;4;8
804249695.txt,9
762918891.txt,9
805862672.txt,6;7
792898969.txt,3
743408561.txt,3
774825979.txt,3
785150634.txt,9
744646363.txt,2;7
766057982.txt,9
787177433.txt,3
760088505.txt,1;4
765552350.txt,9
740732459.txt,4
775431506.txt,9
753458933.txt,3;4
757613919.txt,3
774106248.txt,3
808646257.txt,0;3;4;6
766402143.txt,9
757079623.txt,9
774368313.txt,9
750813579.txt,6;8
759534722.txt,9
765832818.txt,3
795481592.txt,1
770009739.txt,9
791301358.txt,2
767561524.txt,9
768462694.txt,1;3;4
806326776.txt,9
748529219.txt,9
746725123.txt,2
765526003.txt,9
775436693.txt,9
773690438.txt,9
788206958.txt,9
763149783.txt,9
792854569.txt,3
752936156.txt,9
750462085.txt,3
749100423.txt,2;4
788845123.txt,0;3;4
770052462.txt,8
802618563.txt,4;8
790319950.txt,4
789526132.txt,0;1;3
798428892.txt,9
799164549.txt,9
807901785.txt,9
799727617.txt,7
781757804.txt,9
760106113.txt,9
780009601.txt,2;3;4;5
796537771.txt,3
787097717.txt,9
773690004.txt,9
792514463.txt,9
767399406.txt,9
792195407.txt,9
787773755.txt,2;3;4;5
785462502.txt,9
774103094.txt,1;3;4
795368620.txt,9
791981370.txt,9
770315347.txt,9
783432737.txt,3
761833207.txt,3
807011514.txt,9
792497810.txt,4
774398999.txt,9
786584924.txt,9
804079663.txt,3;4
793716912.txt,3;4
767455478.txt,7
780112022.txt,9
785535711.txt,3;4
778439607.txt,9
740739093.txt,3
778176640.txt,3
792945918.txt,9
759200223.txt,3
787128864.txt,3
737354248.txt,3
778444822.txt,9
776122218.txt,9
744646173.txt,9
784558173.txt,3
743395812.txt,3
784087902.txt,3
737403598.txt,1;4
783283372.txt,9
778322452.txt,3
743975503.txt,9
795487640.txt,9
777538764.txt,2;4
780906206.txt,3
807206789.txt,3
808332524.txt,9
775784504.txt,9
771381354.txt,3
745287784.txt,9
806734342.txt,9
771935786.txt,9
783533984.txt,3;4
792552391.txt,1
737137554.txt,9
788591931.txt,1;4
797804394.txt,8
790081209.txt,3
772789871.txt,9
790477797.txt,9
786255921.txt,9
780592818.txt,9
733146464.txt,0;1
772627817.txt,3
781908944.txt,9
786570547.txt,3
797850588.txt,9
741001340.txt,3;4
779362067.txt,9
