file,cats
798507904.txt,
804045612.txt,
792948743.txt,3+
793084875.txt,3+
759511715.txt,3+
776431140.txt,
779183024.txt,8+
785000449.txt,4+
742651922.txt,
746965405.txt,
798713223.txt,
771650368.txt,3+;4+
803876336.txt,
768815667.txt,2+;3+
734332849.txt,
801051895.txt,7+
781773363.txt,1+
758037306.txt,3+
748444760.txt,0-;1-;3-;5+;8-
764662087.txt,1+
Z3436303_housing_instability.txt,
Z3158695_childcare.txt,0-;1+;3-;4-;5+;8-
Z3332554_substance_abuse.txt,3-;6+;8+
Z3270571_parent_employment.txt,
Z897449_transportation.txt,0+;3+;4+;8-
Z3407997_food_insecurity.txt,
Z3397001_safety.txt,3+
Z1725330_financial_strain.txt,
795228404.txt,0-;1+;3-;4+;8+
804257333.txt,8+
744173368.txt,
764679905.txt,
777218429.txt,
750399483.txt,1+;3+
765925964.txt,1+
797805510.txt,
810089169.txt,3+;7+
799345370.txt,8+
767847492.txt,0-;1-;3-;4+;8-
751097166.txt,0+;1+
744375909.txt,
796718222.txt,4+;7-
735442263.txt,
734766290.txt,6+;7+
759861099.txt,0-;3+;4-;8-
806902810.txt,
802376323.txt,
806340991.txt,1+;4+
791441082.txt,0-;3-
754207788.txt,0-;1+;3+;4+;5+;8-
771649119.txt,
803613093.txt,3+
802346171.txt,
810011531.txt,
764551203.txt,3+
776150262.txt,0-;3+;4-;6+;8-
731767882.txt,3+;5+;6+;7+;8+
757699951.txt,5-
765754673.txt,0-;1+;4+;8-
755951737.txt,
736280032.txt,
740381832.txt,4+
759064018.txt,3+
784302284.txt,
799456608.txt,3+
740299111.txt,0-;3-;5+;7+;8+
776453489.txt,4+
809754881.txt,
808807726.txt,0-;1+;3+;4+;8-
768215003.txt,
765872700.txt,0-;1+;4+;8-
745793220.txt,7+;8+
766106630.txt,1+
796974687.txt,6-;7-
755307792.txt,0+;2-;3-;4-;5-;8-
796549830.txt,
738793331.txt,8-
757989498.txt,3+
779497591.txt,
782298339.txt,0-;3+;8-
787368367.txt,3+
795900425.txt,
768708833.txt,
788560718.txt,3+
765431613.txt,0-;3-;5-;8-
788583045.txt,3+
798526278.txt,0-;3+;4-;8-
780098488.txt,0-;1+;3+;4+;8-
770313451.txt,
786497530.txt,0+;3+
767815498.txt,1+;3+
768868815.txt,
781911433.txt,
752706429.txt,
749442330.txt,1+;3+;4+;7+
735867514.txt,0-;3-;8-
804043381.txt,4+
753611477.txt,1+;3+;4+;8-
797621560.txt,3+
810379272.txt,3+
804543869.txt,
777108514.txt,3+;4+
778881257.txt,
738955133.txt,4+
787757589.txt,1+;3+
778414792.txt,1+;3+
768893621.txt,
782515112.txt,0+;1+;3+;4+;5+;8-
790879095.txt,
805302551.txt,
793785981.txt,4+
797019912.txt,3+
785453340.txt,
797105119.txt,4+
749043767.txt,3+
803840123.txt,1+;3+;4+;6-;7+;8-
