Category,Class 1 Precision,Class 1 Recall,Class 1 F1,Class -1 Precision,Class -1 Recall,Class -1 F1,Macro Precision,Macro Recall,Macro F1
0,0.608,0.436,0.508,0.571,0.062,0.111,0.590,0.249,0.310
1,1.000,0.096,0.175,0.091,0.250,0.133,0.545,0.173,0.154
2,0.919,0.370,0.527,0.583,0.175,0.269,0.751,0.272,0.398
3,0.946,0.108,0.194,0.085,0.045,0.059,0.515,0.077,0.126
4,0.906,0.156,0.267,0.290,0.113,0.162,0.598,0.134,0.214
5,0.500,0.009,0.018,0.500,0.135,0.213,0.500,0.072,0.115
6,1.000,0.308,0.471,0.167,0.250,0.200,0.583,0.279,0.335
7,1.000,0.018,0.035,0.143,0.111,0.125,0.571,0.065,0.080
8,0.333,0.005,0.011,0.825,0.118,0.207,0.579,0.062,0.109
MACRO AVG,-,-,-,-,-,-,0.582,0.154,0.205
